run,experiment,paradigm,macro_f1_func,micro_f1_func,set_match,seq_match,partial,full,win_rate,n
baseline_direct,minimal,direct,0.921,0.843,0.314,0.285,0.294,0.169,0.292,1861
stage1_epoch4_direct,minimal,direct,0.914,0.842,0.306,0.279,0.292,0.164,0.278,1861
stage1_epoch4_react,minimal,react,0.895,0.728,0.28,0.263,0.133,0.0,0.532,1861
stage2_epoch4_direct,minimal,direct,0.911,0.841,0.307,0.278,0.289,0.166,0.272,1861
stage2_epoch4_react,minimal,react,0.734,0.697,0.238,0.224,0.122,0.001,0.513,1861
stage4_epoch2_direct,minimal,direct,0.917,0.806,0.29,0.269,,,,1861
partial_s1_e4_direct,partial,direct,0.919,0.842,0.31,0.28,0.292,0.163,0.274,1861
partial_s1_e4_react,partial,react,0.926,0.733,0.289,0.275,0.137,0.0,0.543,1861
partial_s2_e2_direct,partial,direct,0.918,0.844,0.311,0.28,0.291,0.163,0.272,1861
partial_s2_e2_react,partial,react,0.808,0.718,0.261,0.246,0.134,0.001,0.533,1861
partial_s3_e2_direct,partial,direct,0.912,0.846,0.306,0.277,0.288,0.158,0.268,1861
partial_s3_e2_react,partial,react,0.472,0.661,0.183,0.165,0.094,0.001,0.479,1861
partial_s4_e1_direct,partial,direct,0.932,0.845,0.313,0.285,0.291,0.164,0.274,1861
partial_s4_e1_react,partial,react,0.35,0.628,0.148,0.134,0.084,0.001,0.45,1861
