group,failure_type,count,pct,note
baseline_win_partial_fail,none,0,0.0,
baseline_fail_partial_win,too_few_calls,554,52.76,heuristic
baseline_fail_partial_win,execution_error,26,2.48,heuristic
baseline_fail_partial_win,correct_answer_wrong_trace,162,15.43,heuristic
baseline_fail_partial_win,other,308,29.33,heuristic
baseline_win_strict_fail,none,0,0.0,
baseline_win_partial_fail_direct,no_tool_call,1,0.99,heuristic
baseline_win_partial_fail_direct,too_few_calls,42,41.58,heuristic
baseline_win_partial_fail_direct,too_many_calls,6,5.94,heuristic
baseline_win_partial_fail_direct,execution_error,3,2.97,heuristic
baseline_win_partial_fail_direct,correct_trace_wrong_answer,27,26.73,heuristic
baseline_win_partial_fail_direct,other,22,21.78,heuristic
