stage,line_index,sample_id,reason
2,0,synthetic-epoch2-000001,gold_answer_unresolved
2,1,synthetic-epoch2-000002,gold_answer_unresolved
2,7,synthetic-epoch2-000008,gold_answer_unresolved
2,62,synthetic-epoch2-000063,gold_answer_unresolved
2,102,synthetic-epoch2-000103,gold_answer_unresolved
2,105,synthetic-epoch2-000106,gold_answer_unresolved
2,119,synthetic-epoch2-000120,gold_answer_unresolved
2,127,synthetic-epoch2-000128,gold_answer_unresolved
2,146,synthetic-epoch2-000147,gold_answer_unresolved
2,161,synthetic-epoch2-000162,gold_answer_unresolved
2,214,synthetic-epoch2-000215,gold_answer_unresolved
2,221,synthetic-epoch2-000222,gold_answer_unresolved
2,229,synthetic-epoch2-000230,gold_answer_unresolved
2,262,synthetic-epoch2-000263,gold_answer_unresolved
2,304,synthetic-epoch2-000305,gold_answer_unresolved
2,311,synthetic-epoch2-000312,gold_answer_unresolved
2,312,synthetic-epoch2-000313,gold_answer_unresolved
2,386,synthetic-epoch2-000387,gold_answer_unresolved
2,391,synthetic-epoch2-000392,gold_answer_unresolved
3,0,synthetic-epoch3-000001,gold_answer_unresolved
3,5,synthetic-epoch3-000006,gold_answer_unresolved
3,9,synthetic-epoch3-000010,gold_answer_unresolved
3,14,synthetic-epoch3-000015,gold_answer_unresolved
3,42,synthetic-epoch3-000043,gold_answer_unresolved
3,63,synthetic-epoch3-000064,gold_answer_unresolved
3,70,synthetic-epoch3-000071,gold_answer_unresolved
3,99,synthetic-epoch3-000100,gold_answer_unresolved
3,123,synthetic-epoch3-000124,gold_answer_unresolved
3,148,synthetic-epoch3-000149,gold_answer_unresolved
3,172,synthetic-epoch3-000173,gold_answer_unresolved
3,231,synthetic-epoch3-000232,gold_answer_unresolved
3,249,synthetic-epoch3-000250,gold_answer_unresolved
3,255,synthetic-epoch3-000256,gold_answer_unresolved
3,371,synthetic-epoch3-000372,gold_answer_unresolved
3,377,synthetic-epoch3-000378,gold_answer_unresolved
3,395,synthetic-epoch3-000396,gold_answer_unresolved
3,397,synthetic-epoch3-000398,gold_answer_unresolved
3,399,synthetic-epoch3-000400,gold_answer_unresolved
4,0,synthetic-epoch4-000001,gold_answer_unresolved
4,8,synthetic-epoch4-000009,gold_answer_unresolved
4,16,synthetic-epoch4-000017,gold_answer_unresolved
4,45,synthetic-epoch4-000046,gold_answer_unresolved
4,73,synthetic-epoch4-000074,gold_answer_unresolved
4,122,synthetic-epoch4-000123,gold_answer_unresolved
4,150,synthetic-epoch4-000151,gold_answer_unresolved
4,155,synthetic-epoch4-000156,gold_answer_unresolved
4,169,synthetic-epoch4-000170,missing_field:gold_answer
4,204,synthetic-epoch4-000205,gold_answer_unresolved
4,207,synthetic-epoch4-000208,gold_answer_unresolved
4,225,synthetic-epoch4-000226,gold_answer_unresolved
4,256,synthetic-epoch4-000257,gold_answer_unresolved
4,262,synthetic-epoch4-000263,gold_answer_unresolved
4,268,synthetic-epoch4-000269,gold_answer_unresolved
4,352,synthetic-epoch4-000353,gold_answer_unresolved
5,2,synthetic-epoch5-000003,gold_answer_unresolved
5,9,synthetic-epoch5-000010,gold_answer_unresolved
5,16,synthetic-epoch5-000017,gold_answer_unresolved
5,67,synthetic-epoch5-000068,gold_answer_unresolved
5,69,synthetic-epoch5-000070,gold_answer_unresolved
5,77,synthetic-epoch5-000078,gold_answer_unresolved
5,102,synthetic-epoch5-000103,gold_answer_unresolved
5,117,synthetic-epoch5-000118,gold_answer_unresolved
5,123,synthetic-epoch5-000124,gold_answer_unresolved
5,153,synthetic-epoch5-000154,gold_answer_unresolved
5,161,synthetic-epoch5-000162,gold_answer_unresolved
5,182,synthetic-epoch5-000183,gold_answer_unresolved
5,213,synthetic-epoch5-000214,gold_answer_unresolved
5,241,synthetic-epoch5-000242,gold_answer_unresolved
5,242,synthetic-epoch5-000243,gold_answer_unresolved
5,248,synthetic-epoch5-000249,gold_answer_unresolved
5,265,synthetic-epoch5-000266,gold_answer_unresolved
5,287,synthetic-epoch5-000288,gold_answer_unresolved
5,291,synthetic-epoch5-000292,gold_answer_unresolved
5,295,synthetic-epoch5-000296,gold_answer_unresolved
5,298,synthetic-epoch5-000299,gold_answer_unresolved
5,307,synthetic-epoch5-000308,gold_answer_unresolved
5,354,synthetic-epoch5-000355,gold_answer_unresolved
5,361,synthetic-epoch5-000362,gold_answer_unresolved
5,391,synthetic-epoch5-000392,gold_answer_unresolved
6,1,synthetic-epoch6-000002,gold_answer_unresolved
6,23,synthetic-epoch6-000024,gold_answer_unresolved
6,29,synthetic-epoch6-000030,gold_answer_unresolved
6,35,synthetic-epoch6-000036,gold_answer_unresolved
6,46,synthetic-epoch6-000047,gold_answer_unresolved
6,50,synthetic-epoch6-000051,gold_answer_unresolved
6,64,synthetic-epoch6-000065,gold_answer_unresolved
6,78,synthetic-epoch6-000079,gold_answer_unresolved
6,83,synthetic-epoch6-000084,gold_answer_unresolved
6,88,synthetic-epoch6-000089,gold_answer_unresolved
6,90,synthetic-epoch6-000091,gold_answer_unresolved
6,91,synthetic-epoch6-000092,gold_answer_unresolved
6,105,synthetic-epoch6-000106,gold_answer_unresolved
6,127,synthetic-epoch6-000128,gold_answer_unresolved
6,140,synthetic-epoch6-000141,gold_answer_unresolved
6,150,synthetic-epoch6-000151,gold_answer_unresolved
6,151,synthetic-epoch6-000152,gold_answer_unresolved
6,161,synthetic-epoch6-000162,gold_answer_unresolved
6,163,synthetic-epoch6-000164,gold_answer_unresolved
6,177,synthetic-epoch6-000178,gold_answer_unresolved
6,211,synthetic-epoch6-000212,gold_answer_unresolved
6,212,synthetic-epoch6-000213,gold_answer_unresolved
6,227,synthetic-epoch6-000228,gold_answer_unresolved
6,228,synthetic-epoch6-000229,gold_answer_unresolved
6,233,synthetic-epoch6-000234,gold_answer_unresolved
6,241,synthetic-epoch6-000242,gold_answer_unresolved
6,243,synthetic-epoch6-000244,gold_answer_unresolved
6,247,synthetic-epoch6-000248,gold_answer_unresolved
6,255,synthetic-epoch6-000256,gold_answer_unresolved
6,258,synthetic-epoch6-000259,gold_answer_unresolved
6,264,synthetic-epoch6-000265,gold_answer_unresolved
6,267,synthetic-epoch6-000268,gold_answer_unresolved
